"Date & Time","Use [kW]","Gen [kW]","Grid [kW]","Solar [kW]"
2012-04-21 23:59,1.839683333,-0.002000000,1.841683333,-0.002000000
2012-04-21 23:58,1.805216667,-0.002000000,1.807216667,-0.002000000
2012-04-21 23:57,1.694366667,-0.002000000,1.696366667,-0.002000000
2012-04-21 23:56,1.690700000,-0.002000000,1.692700000,-0.002000000
2012-04-21 23:55,1.735133333,-0.002000000,1.737133333,-0.002000000
2012-04-21 23:54,2.389616667,-0.002000000,2.391616667,-0.002000000
2012-04-21 23:53,2.183483333,-0.002000000,2.185483333,-0.002000000
2012-04-21 23:52,1.937500000,-0.002000000,1.939500000,-0.002000000
2012-04-21 23:51,1.769733333,-0.001983333,1.771716667,-0.001983333
2012-04-21 23:50,1.783833333,-0.002000000,1.785833333,-0.002000000
2012-04-21 23:49,1.780966667,-0.002000000,1.782966667,-0.002000000
2012-04-21 23:48,1.747866667,-0.002000000,1.749866667,-0.002000000
2012-04-21 23:47,1.716650000,-0.002000000,1.718650000,-0.002000000
2012-04-21 23:46,1.690833333,-0.002000000,1.692833333,-0.002000000
2012-04-21 23:45,1.635616667,-0.002000000,1.637616667,-0.002000000
2012-04-21 23:44,1.639200000,-0.002000000,1.641200000,-0.002000000
2012-04-21 23:43,2.074633333,-0.000833333,2.075466667,-0.000833333
2012-04-21 23:42,1.990533333,-0.001083333,1.991616667,-0.001083333
2012-04-21 23:41,1.634566667,-0.001983333,1.636550000,-0.001983333
2012-04-21 23:40,1.620350000,-0.001983333,1.622333333,-0.001983333
2012-04-21 23:39,1.662666667,-0.002000000,1.664666667,-0.002000000
2012-04-21 23:38,1.678183333,-0.002000000,1.680183333,-0.002000000
2012-04-21 23:37,1.764233333,-0.002000000,1.766233333,-0.002000000
2012-04-21 23:36,1.672383333,-0.001983333,1.674366667,-0.001983333
2012-04-21 23:35,1.618683333,-0.002000000,1.620683333,-0.002000000
2012-04-21 23:34,1.591616667,-0.002000000,1.593616667,-0.002000000
2012-04-21 23:33,1.574150000,-0.002000000,1.576150000,-0.002000000
2012-04-21 23:32,1.539450000,-0.002000000,1.541450000,-0.002000000
2012-04-21 23:31,1.538216667,-0.001983333,1.540200000,-0.001983333
2012-04-21 23:30,1.522983333,-0.002000000,1.524983333,-0.002000000
2012-04-21 23:29,1.586516667,-0.001983333,1.588500000,-0.001983333
2012-04-21 23:28,1.516816667,-0.002000000,1.518816667,-0.002000000
2012-04-21 23:27,1.504766667,-0.002000000,1.506766667,-0.002000000
2012-04-21 23:26,1.584316667,-0.002000000,1.586316667,-0.002000000
2012-04-21 23:25,1.754500000,-0.001966667,1.756466667,-0.001966667
2012-04-21 23:24,1.745533333,-0.001966667,1.747500000,-0.001966667
2012-04-21 23:23,1.722816667,-0.002000000,1.724816667,-0.002000000
2012-04-21 23:22,1.729350000,-0.002000000,1.731350000,-0.002000000
2012-04-21 23:21,1.619050000,-0.002000000,1.621050000,-0.002000000
2012-04-21 23:20,1.521283333,-0.002000000,1.523283333,-0.002000000
2012-04-21 23:19,1.502350000,-0.001983333,1.504333333,-0.001983333
2012-04-21 23:18,1.494800000,-0.001966667,1.496766667,-0.001966667
2012-04-21 23:17,1.501300000,-0.002000000,1.503300000,-0.002000000
2012-04-21 23:16,1.504133333,-0.002000000,1.506133333,-0.002000000
2012-04-21 23:15,1.507883333,-0.002000000,1.509883333,-0.002000000
2012-04-21 23:14,1.513066667,-0.002000000,1.515066667,-0.002000000
2012-04-21 23:13,1.521183333,-0.002000000,1.523183333,-0.002000000
2012-04-21 23:12,1.678700000,-0.002000000,1.680700000,-0.002000000
2012-04-21 23:11,1.662133333,-0.002000000,1.664133333,-0.002000000
2012-04-21 23:10,1.666900000,-0.002000000,1.668900000,-0.002000000
2012-04-21 23:09,1.686116667,-0.002000000,1.688116667,-0.002000000
2012-04-21 23:08,1.666366667,-0.002000000,1.668366667,-0.002000000
2012-04-21 23:07,1.601883333,-0.002000000,1.603883333,-0.002000000
2012-04-21 23:06,1.567083333,-0.002000000,1.569083333,-0.002000000
2012-04-21 23:05,1.598600000,-0.002000000,1.600600000,-0.002000000
2012-04-21 23:04,1.619066667,-0.002000000,1.621066667,-0.002000000
2012-04-21 23:03,1.888666667,-0.001250000,1.889916667,-0.001250000
2012-04-21 23:02,2.343433333,-0.000116667,2.343550000,-0.000116667
2012-04-21 23:01,2.080800000,-0.000716667,2.081516667,-0.000716667
2012-04-21 23:00,1.578516667,-0.001983333,1.580500000,-0.001983333
2012-04-21 22:59,1.638266667,-0.002000000,1.640266667,-0.002000000
2012-04-21 22:58,1.657800000,-0.002000000,1.659800000,-0.002000000
2012-04-21 22:57,1.681516667,-0.002000000,1.683516667,-0.002000000
2012-04-21 22:56,1.686050000,-0.002000000,1.688050000,-0.002000000
2012-04-21 22:55,1.660016667,-0.002000000,1.662016667,-0.002000000
2012-04-21 22:54,1.712683333,-0.002000000,1.714683333,-0.002000000
2012-04-21 22:53,1.708200000,-0.002000000,1.710200000,-0.002000000
2012-04-21 22:52,1.713983333,-0.002000000,1.715983333,-0.002000000
2012-04-21 22:51,1.708400000,-0.001966667,1.710366667,-0.001966667
2012-04-21 22:50,1.720683333,-0.002000000,1.722683333,-0.002000000
2012-04-21 22:49,1.734133333,-0.002000000,1.736133333,-0.002000000
2012-04-21 22:48,1.724200000,-0.002000000,1.726200000,-0.002000000
2012-04-21 22:47,1.749350000,-0.002000000,1.751350000,-0.002000000
2012-04-21 22:46,1.819483333,-0.002000000,1.821483333,-0.002000000
2012-04-21 22:45,1.810600000,-0.002000000,1.812600000,-0.002000000
2012-04-21 22:44,1.825366667,-0.001983333,1.827350000,-0.001983333
2012-04-21 22:43,1.819516667,-0.002000000,1.821516667,-0.002000000
2012-04-21 22:42,1.738350000,-0.002000000,1.740350000,-0.002000000
2012-04-21 22:41,1.711516667,-0.002000000,1.713516667,-0.002000000
2012-04-21 22:40,1.793983333,-0.001983333,1.795966667,-0.001983333
2012-04-21 22:39,1.788866667,-0.002000000,1.790866667,-0.002000000
2012-04-21 22:38,1.814733333,-0.002000000,1.816733333,-0.002000000
2012-04-21 22:37,1.796883333,-0.002000000,1.798883333,-0.002000000
2012-04-21 22:36,1.785050000,-0.002000000,1.787050000,-0.002000000
2012-04-21 22:35,1.806400000,-0.002000000,1.808400000,-0.002000000
2012-04-21 22:34,1.843333333,-0.002000000,1.845333333,-0.002000000
2012-04-21 22:33,1.853350000,-0.002000000,1.855350000,-0.002000000
2012-04-21 22:32,1.876750000,-0.002000000,1.878750000,-0.002000000
2012-04-21 22:31,1.995966667,-0.001700000,1.997666667,-0.001700000
2012-04-21 22:30,2.522500000,-0.000400000,2.522900000,-0.000400000
2012-04-21 22:29,1.957350000,-0.002000000,1.959350000,-0.002000000
2012-04-21 22:28,1.949050000,-0.002000000,1.951050000,-0.002000000
2012-04-21 22:27,2.169383333,-0.002000000,2.171383333,-0.002000000
2012-04-21 22:26,2.054050000,-0.002000000,2.056050000,-0.002000000
2012-04-21 22:25,1.941183333,-0.002000000,1.943183333,-0.002000000
2012-04-21 22:24,1.688866667,-0.002000000,1.690866667,-0.002000000
2012-04-21 22:23,1.533183333,-0.002000000,1.535183333,-0.002000000
2012-04-21 22:22,1.453333333,-0.002000000,1.455333333,-0.002000000
2012-04-21 22:21,1.462866667,-0.002000000,1.464866667,-0.002000000
2012-04-21 22:20,1.464933333,-0.002000000,1.466933333,-0.002000000
2012-04-21 22:19,1.468150000,-0.002000000,1.470150000,-0.002000000
2012-04-21 22:18,1.519266667,-0.001983333,1.521250000,-0.001983333
2012-04-21 22:17,1.505983333,-0.002000000,1.507983333,-0.002000000
2012-04-21 22:16,1.531133333,-0.002000000,1.533133333,-0.002000000
2012-04-21 22:15,1.605383333,-0.002000000,1.607383333,-0.002000000
2012-04-21 22:14,1.743266667,-0.002000000,1.745266667,-0.002000000
2012-04-21 22:13,1.641000000,-0.002000000,1.643000000,-0.002000000
2012-04-21 22:12,1.598316667,-0.001983333,1.600300000,-0.001983333
2012-04-21 22:11,1.470583333,-0.002000000,1.472583333,-0.002000000
2012-04-21 22:10,1.474016667,-0.002000000,1.476016667,-0.002000000
