"Date & Time","Use [kW]","Gen [kW]","Grid [kW]","Solar [kW]"
2012-04-17 23:59,1.025400000,-0.001883333,1.027283333,-0.001883333
2012-04-17 23:58,0.981600000,-0.001883333,0.983483333,-0.001883333
2012-04-17 23:57,0.959416667,-0.001866667,0.961283333,-0.001866667
2012-04-17 23:56,0.959083333,-0.001933333,0.961016667,-0.001933333
2012-04-17 23:55,1.542016667,-0.000450000,1.542466667,-0.000450000
2012-04-17 23:54,1.149183333,-0.001333333,1.150516667,-0.001333333
2012-04-17 23:53,0.958716667,-0.001833333,0.960550000,-0.001833333
2012-04-17 23:52,0.959350000,-0.001750000,0.961100000,-0.001750000
2012-04-17 23:51,0.959000000,-0.001716667,0.960716667,-0.001716667
2012-04-17 23:50,1.006133333,-0.001683333,1.007816667,-0.001683333
2012-04-17 23:49,1.030600000,-0.001683333,1.032283333,-0.001683333
2012-04-17 23:48,1.030300000,-0.001716667,1.032016667,-0.001716667
2012-04-17 23:47,1.035916667,-0.001716667,1.037633333,-0.001716667
2012-04-17 23:46,1.102333333,-0.001766667,1.104100000,-0.001766667
2012-04-17 23:45,1.062766667,-0.001900000,1.064666667,-0.001900000
2012-04-17 23:44,1.068983333,-0.001783333,1.070766667,-0.001783333
2012-04-17 23:43,1.063733333,-0.001833333,1.065566667,-0.001833333
2012-04-17 23:42,1.064500000,-0.001866667,1.066366667,-0.001866667
2012-04-17 23:41,1.068000000,-0.001916667,1.069916667,-0.001916667
2012-04-17 23:40,1.063933333,-0.001983333,1.065916667,-0.001983333
2012-04-17 23:39,1.064133333,-0.001950000,1.066083333,-0.001950000
2012-04-17 23:38,1.064800000,-0.002000000,1.066800000,-0.002000000
2012-04-17 23:37,1.065116667,-0.001966667,1.067083333,-0.001966667
2012-04-17 23:36,1.090866667,-0.002000000,1.092866667,-0.002000000
2012-04-17 23:35,1.135100000,-0.002000000,1.137100000,-0.002000000
2012-04-17 23:34,1.139966667,-0.001966667,1.141933333,-0.001966667
2012-04-17 23:33,1.133366667,-0.001983333,1.135350000,-0.001983333
2012-04-17 23:32,1.179000000,-0.001983333,1.180983333,-0.001983333
2012-04-17 23:31,1.135083333,-0.002000000,1.137083333,-0.002000000
2012-04-17 23:30,1.111633333,-0.001983333,1.113616667,-0.001983333
2012-04-17 23:29,1.112666667,-0.001983333,1.114650000,-0.001983333
2012-04-17 23:28,1.114916667,-0.002000000,1.116916667,-0.002000000
2012-04-17 23:27,1.116316667,-0.002000000,1.118316667,-0.002000000
2012-04-17 23:26,1.114100000,-0.001983333,1.116083333,-0.001983333
2012-04-17 23:25,1.118166667,-0.001983333,1.120150000,-0.001983333
2012-04-17 23:24,1.132716667,-0.001983333,1.134700000,-0.001983333
2012-04-17 23:23,1.078033333,-0.001983333,1.080016667,-0.001983333
2012-04-17 23:22,1.019966667,-0.001866667,1.021833333,-0.001866667
2012-04-17 23:21,1.084200000,-0.001883333,1.086083333,-0.001883333
2012-04-17 23:20,1.085116667,-0.001933333,1.087050000,-0.001933333
2012-04-17 23:19,1.087050000,-0.001750000,1.088800000,-0.001750000
