"Date & Time","Use [kW]","Gen [kW]","Grid [kW]","Solar [kW]"
2012-04-24 23:59,0.931266667,-0.001533333,0.932800000,-0.001533333
2012-04-24 23:58,0.931866667,-0.001450000,0.933316667,-0.001450000
2012-04-24 23:57,0.930833333,-0.001483333,0.932316667,-0.001483333
2012-04-24 23:56,0.929650000,-0.001450000,0.931100000,-0.001450000
2012-04-24 23:55,0.936116667,-0.001533333,0.937650000,-0.001533333
2012-04-24 23:54,0.962900000,-0.001433333,0.964333333,-0.001433333
2012-04-24 23:53,0.973083333,-0.001350000,0.974433333,-0.001350000
2012-04-24 23:52,1.733183333,-0.000016667,1.733200000,-0.000016667
2012-04-24 23:51,1.012550000,-0.001300000,1.013850000,-0.001300000
2012-04-24 23:50,1.013800000,-0.001400000,1.015200000,-0.001400000
2012-04-24 23:49,1.012883333,-0.001366667,1.014250000,-0.001366667
2012-04-24 23:48,1.013483333,-0.001333333,1.014816667,-0.001333333
2012-04-24 23:47,1.023083333,-0.001466667,1.024550000,-0.001466667
2012-04-24 23:46,0.960716667,-0.001483333,0.962200000,-0.001483333
2012-04-24 23:45,0.939750000,-0.001366667,0.941116667,-0.001366667
2012-04-24 23:44,0.946816667,-0.001283333,0.948100000,-0.001283333
2012-04-24 23:43,0.940850000,-0.001266667,0.942116667,-0.001266667
2012-04-24 23:42,0.939550000,-0.001433333,0.940983333,-0.001433333
2012-04-24 23:41,0.997133333,-0.001816667,0.998950000,-0.001816667
2012-04-24 23:40,1.021116667,-0.001850000,1.022966667,-0.001850000
2012-04-24 23:39,0.980300000,-0.001950000,0.982250000,-0.001950000
2012-04-24 23:38,1.388400000,-0.001583333,1.389983333,-0.001583333
2012-04-24 23:37,2.894600000,-0.001683333,2.896283333,-0.001683333
2012-04-24 23:36,2.894516667,-0.001633333,2.896150000,-0.001633333
2012-04-24 23:35,2.925966667,-0.001466667,2.927433333,-0.001466667
2012-04-24 23:34,2.928716667,-0.001783333,2.930500000,-0.001783333
2012-04-24 23:33,2.936133333,-0.001600000,2.937733333,-0.001600000
2012-04-24 23:32,2.467683333,-0.001783333,2.469466667,-0.001783333
2012-04-24 23:31,1.086466667,-0.001683333,1.088150000,-0.001683333
2012-04-24 23:30,1.085400000,-0.001666667,1.087066667,-0.001666667
2012-04-24 23:29,1.085250000,-0.001550000,1.086800000,-0.001550000
2012-04-24 23:28,1.089450000,-0.001500000,1.090950000,-0.001500000
2012-04-24 23:27,1.089433333,-0.001550000,1.090983333,-0.001550000
2012-04-24 23:26,1.090600000,-0.001600000,1.092200000,-0.001600000
2012-04-24 23:25,1.090000000,-0.001483333,1.091483333,-0.001483333
2012-04-24 23:24,1.150766667,-0.001550000,1.152316667,-0.001550000
2012-04-24 23:23,1.163800000,-0.001416667,1.165216667,-0.001416667
2012-04-24 23:22,1.212766667,-0.001583333,1.214350000,-0.001583333
2012-04-24 23:21,1.278450000,-0.001583333,1.280033333,-0.001583333
2012-04-24 23:20,1.272766667,-0.001316667,1.274083333,-0.001316667
2012-04-24 23:19,1.331183333,-0.001366667,1.332550000,-0.001366667
2012-04-24 23:18,1.501650000,-0.001566667,1.503216667,-0.001566667
2012-04-24 23:17,1.853650000,-0.001683333,1.855333333,-0.001683333
2012-04-24 23:16,1.596966667,-0.001716667,1.598683333,-0.001716667
2012-04-24 23:15,1.533950000,-0.001833333,1.535783333,-0.001833333
