"Date & Time","Use [kW]","Gen [kW]","Grid [kW]","Solar [kW]"
2012-04-22 23:59,2.201816667,-0.001966667,2.203783333,-0.001966667
2012-04-22 23:58,2.175383333,-0.002000000,2.177383333,-0.002000000
2012-04-22 23:57,2.463666667,-0.001100000,2.464766667,-0.001100000
2012-04-22 23:56,2.406083333,-0.000966667,2.407050000,-0.000966667
2012-04-22 23:55,2.009133333,-0.002000000,2.011133333,-0.002000000
2012-04-22 23:54,2.012133333,-0.002000000,2.014133333,-0.002000000
2012-04-22 23:53,2.013183333,-0.002000000,2.015183333,-0.002000000
2012-04-22 23:52,2.074450000,-0.001966667,2.076416667,-0.001966667
2012-04-22 23:51,1.965083333,-0.002000000,1.967083333,-0.002000000
2012-04-22 23:50,1.902116667,-0.002000000,1.904116667,-0.002000000
2012-04-22 23:49,1.915766667,-0.002000000,1.917766667,-0.002000000
2012-04-22 23:48,2.027783333,-0.001966667,2.029750000,-0.001966667
2012-04-22 23:47,2.144833333,-0.001983333,2.146816667,-0.001983333
2012-04-22 23:46,2.179866667,-0.002000000,2.181866667,-0.002000000
2012-04-22 23:45,2.039333333,-0.002000000,2.041333333,-0.002000000
2012-04-22 23:44,2.015233333,-0.002000000,2.017233333,-0.002000000
2012-04-22 23:43,2.014866667,-0.002000000,2.016866667,-0.002000000
2012-04-22 23:42,2.009433333,-0.001966667,2.011400000,-0.001966667
2012-04-22 23:41,2.052233333,-0.002000000,2.054233333,-0.002000000
2012-04-22 23:40,2.031933333,-0.002000000,2.033933333,-0.002000000
2012-04-22 23:39,2.027350000,-0.002000000,2.029350000,-0.002000000
2012-04-22 23:38,1.970083333,-0.002000000,1.972083333,-0.002000000
2012-04-22 23:37,2.001850000,-0.002000000,2.003850000,-0.002000000
2012-04-22 23:36,1.976216667,-0.001983333,1.978200000,-0.001983333
2012-04-22 23:35,1.961616667,-0.001983333,1.963600000,-0.001983333
2012-04-22 23:34,2.109283333,-0.001983333,2.111266667,-0.001983333
2012-04-22 23:33,2.089233333,-0.002000000,2.091233333,-0.002000000
2012-04-22 23:32,2.021133333,-0.001983333,2.023116667,-0.001983333
2012-04-22 23:31,2.015483333,-0.002000000,2.017483333,-0.002000000
2012-04-22 23:30,2.106000000,-0.002000000,2.108000000,-0.002000000
2012-04-22 23:29,2.081366667,-0.001933333,2.083300000,-0.001933333
2012-04-22 23:28,2.018050000,-0.001933333,2.019983333,-0.001933333
2012-04-22 23:27,2.051450000,-0.001966667,2.053416667,-0.001966667
2012-04-22 23:26,2.075166667,-0.001983333,2.077150000,-0.001983333
2012-04-22 23:25,2.070850000,-0.002000000,2.072850000,-0.002000000
2012-04-22 23:24,2.023133333,-0.002000000,2.025133333,-0.002000000
2012-04-22 23:23,1.971250000,-0.001916667,1.973166667,-0.001916667
2012-04-22 23:22,1.935333333,-0.001900000,1.937233333,-0.001900000
2012-04-22 23:21,1.972416667,-0.001833333,1.974250000,-0.001833333
2012-04-22 23:20,1.980383333,-0.001916667,1.982300000,-0.001916667
2012-04-22 23:19,1.997683333,-0.001833333,1.999516667,-0.001833333
2012-04-22 23:18,1.996333333,-0.001983333,1.998316667,-0.001983333
2012-04-22 23:17,1.945650000,-0.001983333,1.947633333,-0.001983333
2012-04-22 23:16,2.054433333,-0.001983333,2.056416667,-0.001983333
2012-04-22 23:15,2.051283333,-0.001966667,2.053250000,-0.001966667
2012-04-22 23:14,2.067416667,-0.001916667,2.069333333,-0.001916667
2012-04-22 23:13,1.961716667,-0.001933333,1.963650000,-0.001933333
2012-04-22 23:12,1.936600000,-0.001966667,1.938566667,-0.001966667
2012-04-22 23:11,1.906750000,-0.001916667,1.908666667,-0.001916667
2012-04-22 23:10,1.961533333,-0.002000000,1.963533333,-0.002000000
2012-04-22 23:09,1.949016667,-0.001733333,1.950750000,-0.001733333
2012-04-22 23:08,2.592450000,-0.000150000,2.592600000,-0.000150000
2012-04-22 23:07,1.903650000,-0.001983333,1.905633333,-0.001983333
2012-04-22 23:06,1.917383333,-0.001933333,1.919316667,-0.001933333
2012-04-22 23:05,2.116316667,-0.001983333,2.118300000,-0.001983333
2012-04-22 23:04,2.117900000,-0.001966667,2.119866667,-0.001966667
2012-04-22 23:03,2.069916667,-0.001900000,2.071816667,-0.001900000
2012-04-22 23:02,2.133483333,-0.001950000,2.135433333,-0.001950000
2012-04-22 23:01,2.145950000,-0.001933333,2.147883333,-0.001933333
2012-04-22 23:00,2.186883333,-0.001916667,2.188800000,-0.001916667
2012-04-22 22:59,2.069183333,-0.001900000,2.071083333,-0.001900000
