"Date & Time","Use [kW]","Gen [kW]","Grid [kW]","Solar [kW]"
2012-04-16 23:59,0.954566667,-0.001750000,0.956316667,-0.001750000
2012-04-16 23:58,0.924466667,-0.001733333,0.926200000,-0.001733333
2012-04-16 23:57,0.924450000,-0.001733333,0.926183333,-0.001733333
2012-04-16 23:56,0.923083333,-0.001633333,0.924716667,-0.001633333
2012-04-16 23:55,0.923316667,-0.001800000,0.925116667,-0.001800000
2012-04-16 23:54,1.063000000,-0.001433333,1.064433333,-0.001433333
2012-04-16 23:53,1.530950000,-0.000300000,1.531250000,-0.000300000
2012-04-16 23:52,0.922716667,-0.001666667,0.924383333,-0.001666667
2012-04-16 23:51,0.923366667,-0.001716667,0.925083333,-0.001716667
2012-04-16 23:50,0.954200000,-0.001566667,0.955766667,-0.001566667
2012-04-16 23:49,0.992833333,-0.001583333,0.994416667,-0.001583333
2012-04-16 23:48,0.991383333,-0.001483333,0.992866667,-0.001483333
2012-04-16 23:47,0.997283333,-0.001516667,0.998800000,-0.001516667
2012-04-16 23:46,0.988066667,-0.001716667,0.989783333,-0.001716667
2012-04-16 23:45,0.925650000,-0.001716667,0.927366667,-0.001716667
2012-04-16 23:44,0.930883333,-0.001766667,0.932650000,-0.001766667
2012-04-16 23:43,0.925916667,-0.001816667,0.927733333,-0.001816667
2012-04-16 23:42,0.923950000,-0.001750000,0.925700000,-0.001750000
2012-04-16 23:41,0.923933333,-0.001716667,0.925650000,-0.001716667
2012-04-16 23:40,0.919483333,-0.001783333,0.921266667,-0.001783333
2012-04-16 23:39,0.918033333,-0.001616667,0.919650000,-0.001616667
2012-04-16 23:38,0.927750000,-0.001700000,0.929450000,-0.001700000
2012-04-16 23:37,0.965416667,-0.001800000,0.967216667,-0.001800000
2012-04-16 23:36,0.973900000,-0.001700000,0.975600000,-0.001700000
2012-04-16 23:35,1.033966667,-0.001650000,1.035616667,-0.001650000
2012-04-16 23:34,1.038883333,-0.001766667,1.040650000,-0.001766667
2012-04-16 23:33,1.055950000,-0.001716667,1.057666667,-0.001716667
2012-04-16 23:32,1.092333333,-0.001750000,1.094083333,-0.001750000
