"Date & Time","Use [kW]","Gen [kW]","Grid [kW]","Solar [kW]"
2012-04-19 23:59,2.028716667,-0.002000000,2.030716667,-0.002000000
2012-04-19 23:58,2.080800000,-0.002000000,2.082800000,-0.002000000
2012-04-19 23:57,2.112133333,-0.002000000,2.114133333,-0.002000000
2012-04-19 23:56,2.125300000,-0.002000000,2.127300000,-0.002000000
2012-04-19 23:55,2.144483333,-0.002000000,2.146483333,-0.002000000
2012-04-19 23:54,2.135800000,-0.002000000,2.137800000,-0.002000000
2012-04-19 23:53,2.089800000,-0.002000000,2.091800000,-0.002000000
2012-04-19 23:52,2.236083333,-0.002000000,2.238083333,-0.002000000
2012-04-19 23:51,2.158683333,-0.002000000,2.160683333,-0.002000000
2012-04-19 23:50,2.195533333,-0.002000000,2.197533333,-0.002000000
2012-04-19 23:49,2.108816667,-0.002000000,2.110816667,-0.002000000
2012-04-19 23:48,2.214900000,-0.002000000,2.216900000,-0.002000000
2012-04-19 23:47,2.160650000,-0.002000000,2.162650000,-0.002000000
2012-04-19 23:46,2.107466667,-0.002000000,2.109466667,-0.002000000
2012-04-19 23:45,2.092766667,-0.002000000,2.094766667,-0.002000000
2012-04-19 23:44,2.126500000,-0.002000000,2.128500000,-0.002000000
2012-04-19 23:43,2.094416667,-0.002000000,2.096416667,-0.002000000
2012-04-19 23:42,2.735183333,-0.001166667,2.736350000,-0.001166667
2012-04-19 23:41,2.288283333,-0.001800000,2.290083333,-0.001800000
2012-04-19 23:40,2.090100000,-0.002000000,2.092100000,-0.002000000
2012-04-19 23:39,2.118433333,-0.002000000,2.120433333,-0.002000000
2012-04-19 23:38,2.165750000,-0.002000000,2.167750000,-0.002000000
2012-04-19 23:37,2.169483333,-0.002000000,2.171483333,-0.002000000
2012-04-19 23:36,2.154750000,-0.002000000,2.156750000,-0.002000000
2012-04-19 23:35,2.172016667,-0.002000000,2.174016667,-0.002000000
2012-04-19 23:34,2.293316667,-0.002000000,2.295316667,-0.002000000
2012-04-19 23:33,2.095500000,-0.002000000,2.097500000,-0.002000000
2012-04-19 23:32,2.173816667,-0.002000000,2.175816667,-0.002000000
2012-04-19 23:31,2.096966667,-0.002000000,2.098966667,-0.002000000
2012-04-19 23:30,2.022016667,-0.002000000,2.024016667,-0.002000000
